user,song_id,play_count,song,album,artist,year
0eWtfZi67r6GktMV,934990D5B90B45E196D4AA28868AE070,3,Amani,海阔天空,Beyond,1993
sriPmdIA0GFAwy4P,934990D5B90B45E196D4AA28868AE070,1,Amani,海阔天空,Beyond,1993
GHhwcZeqiMJIfdfx,934990D5B90B45E196D4AA28868AE070,3,Amani,海阔天空,Beyond,1993
VixRd2ynzHRqZrN2,934990D5B90B45E196D4AA28868AE070,1,Amani,海阔天空,Beyond,1993
pD184EIwpWR0NXgB,934990D5B90B45E196D4AA28868AE070,3,Amani,海阔天空,Beyond,1993
RwptaTwgmCfBvRLm,934990D5B90B45E196D4AA28868AE070,4,Amani,海阔天空,Beyond,1993
BPAzapEohGq0PjbJ,934990D5B90B45E196D4AA28868AE070,0,Amani,海阔天空,Beyond,1993
9gQfcHkwsVOlSSNA,934990D5B90B45E196D4AA28868AE070,3,Amani,海阔天空,Beyond,1993
r1sf6PDNASUxwkdm,934990D5B90B45E196D4AA28868AE070,4,Amani,海阔天空,Beyond,1993
iGjxzFBdl8v1XUJJ,934990D5B90B45E196D4AA28868AE070,6,Amani,海阔天空,Beyond,1993
Pe9fnkBuMWj2Lhz5,934990D5B90B45E196D4AA28868AE070,1,Amani,海阔天空,Beyond,1993
1TjoFj1MDKYdiyNX,934990D5B90B45E196D4AA28868AE070,3,Amani,海阔天空,Beyond,1993
ZBZ2IYfT647n2nP9,934990D5B90B45E196D4AA28868AE070,2,Amani,海阔天空,Beyond,1993
OM05iSZDNSvGDoxw,934990D5B90B45E196D4AA28868AE070,5,Amani,海阔天空,Beyond,1993
sSjy3kZ7Y2WnnYDk,934990D5B90B45E196D4AA28868AE070,4,Amani,海阔天空,Beyond,1993
LLFghgo9kun7pj3f,934990D5B90B45E196D4AA28868AE070,2,Amani,海阔天空,Beyond,1993
53dv0SzhsorMHYL3,934990D5B90B45E196D4AA28868AE070,4,Amani,海阔天空,Beyond,1993
gvalxpEFr7n1W1Oj,934990D5B90B45E196D4AA28868AE070,0,Amani,海阔天空,Beyond,1993
PVJrxNqFOTqJzSij,934990D5B90B45E196D4AA28868AE070,0,Amani,海阔天空,Beyond,1993
ufN3KwgrzukeVXRJ,8A9CFC60202749CEAAD75265B33C60FA,3,不再犹豫,犹豫,Beyond,1991
KfTygL4k5rTFLBwN,8A9CFC60202749CEAAD75265B33C60FA,1,不再犹豫,犹豫,Beyond,1991
nh1rMXDYcXE3SSgF,8A9CFC60202749CEAAD75265B33C60FA,2,不再犹豫,犹豫,Beyond,1991
3YoXOsQjTpU3WU4x,8A9CFC60202749CEAAD75265B33C60FA,1,不再犹豫,犹豫,Beyond,1991
VeEnVo6i5BhZlLjF,8A9CFC60202749CEAAD75265B33C60FA,2,不再犹豫,犹豫,Beyond,1991
2BtFCrHpCB6Ul7jn,8A9CFC60202749CEAAD75265B33C60FA,10,不再犹豫,犹豫,Beyond,1991
VTZ2oweyUf6EnrO0,8A9CFC60202749CEAAD75265B33C60FA,2,不再犹豫,犹豫,Beyond,1991
QMrWErMbCrcDNlZV,8A9CFC60202749CEAAD75265B33C60FA,3,不再犹豫,犹豫,Beyond,1991
Y4S69lRNwDzjL4tG,8A9CFC60202749CEAAD75265B33C60FA,3,不再犹豫,犹豫,Beyond,1991
YxQbTS9p2HFHcEfj,8A9CFC60202749CEAAD75265B33C60FA,6,不再犹豫,犹豫,Beyond,1991
YCXHDXKkRDTwsI2j,8A9CFC60202749CEAAD75265B33C60FA,1,不再犹豫,犹豫,Beyond,1991
HXMvOFEDy5XtYCEw,8A9CFC60202749CEAAD75265B33C60FA,3,不再犹豫,犹豫,Beyond,1991
F6UyK0zCPFoXlps9,8A9CFC60202749CEAAD75265B33C60FA,1,不再犹豫,犹豫,Beyond,1991
CUGYChUYJcHHZIaA,8A9CFC60202749CEAAD75265B33C60FA,3,不再犹豫,犹豫,Beyond,1991
oM2NQs9NNk3ohXwi,8A9CFC60202749CEAAD75265B33C60FA,4,不再犹豫,犹豫,Beyond,1991
0163xc5RbfhuHxAS,8A9CFC60202749CEAAD75265B33C60FA,0,不再犹豫,犹豫,Beyond,1991
KcqeVRpw3p1fqcXB,8A9CFC60202749CEAAD75265B33C60FA,1,不再犹豫,犹豫,Beyond,1991
I5ratFgGU92Q7Rjk,8A9CFC60202749CEAAD75265B33C60FA,0,不再犹豫,犹豫,Beyond,1991
jlrJUBaqNBmcxFKH,C7DAD9CA0C3047A78EB498DAC77F421C,5,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
dFCAIFRvIyDWXkDz,C7DAD9CA0C3047A78EB498DAC77F421C,3,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
nh1rMXDYcXE3SSgF,C7DAD9CA0C3047A78EB498DAC77F421C,2,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
RXfF5bw3ffT1cocH,C7DAD9CA0C3047A78EB498DAC77F421C,3,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
KsU5pxF3CLQQ7vqF,C7DAD9CA0C3047A78EB498DAC77F421C,3,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
dOlVGrAJiEPXCMF3,C7DAD9CA0C3047A78EB498DAC77F421C,0,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
hbx1ujCOgOK1njuU,C7DAD9CA0C3047A78EB498DAC77F421C,12,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
HjB4b2EXXMWXLzBI,C7DAD9CA0C3047A78EB498DAC77F421C,4,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
H6qX9WubcsyNrhaX,C7DAD9CA0C3047A78EB498DAC77F421C,0,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
ES5aYd6ZBbMy971x,C7DAD9CA0C3047A78EB498DAC77F421C,2,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
gTVW2vPFCHXhTnKS,C7DAD9CA0C3047A78EB498DAC77F421C,1,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
38Tyrw2ky7MOA6Zf,C7DAD9CA0C3047A78EB498DAC77F421C,1,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
TWeKLWo5CBjRLUSS,C7DAD9CA0C3047A78EB498DAC77F421C,1,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
tbIpUMCVsvHZOOKG,C7DAD9CA0C3047A78EB498DAC77F421C,5,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
R0iBBilJVg6MLflx,C7DAD9CA0C3047A78EB498DAC77F421C,6,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
tw2uEDqPEpMnhxyF,C7DAD9CA0C3047A78EB498DAC77F421C,1,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
SlHT2chT4aagKNvN,C7DAD9CA0C3047A78EB498DAC77F421C,2,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
zgvENhVEAFpaYy1e,C7DAD9CA0C3047A78EB498DAC77F421C,2,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
AFpRKR9XBXW2oda7,C7DAD9CA0C3047A78EB498DAC77F421C,1,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
gWquIBPyORKyXIzt,C7DAD9CA0C3047A78EB498DAC77F421C,0,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
ONOIPSqqZRl2E5Js,C7DAD9CA0C3047A78EB498DAC77F421C,5,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
V6tpWQOf1l5EDga8,C7DAD9CA0C3047A78EB498DAC77F421C,1,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
iMsEP5FOBycj6Yie,C7DAD9CA0C3047A78EB498DAC77F421C,0,光辉岁月,Beyond 25Th Anniversary,Beyond,2008
yhElpY20vrZLJXBT,FC69BA8E381F4D718587015E97F875FA,3,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
raITvS6C6OSVhtpT,FC69BA8E381F4D718587015E97F875FA,2,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
sriPmdIA0GFAwy4P,FC69BA8E381F4D718587015E97F875FA,1,冷雨夜,Beyond 25Th Anniversary,Beyond,2008
