title,artist,album,track_number,year,genre,custom_id
Amani,Beyond,海阔天空,1,1993,Chinese Pop,934990D5B90B45E196D4AA28868AE070
不再犹豫,Beyond,犹豫,3/10,1991,Chinese Pop,8A9CFC60202749CEAAD75265B33C60FA
光辉岁月,Beyond,Beyond 25Th Anniversary,2,2008,Chinese Pop,C7DAD9CA0C3047A78EB498DAC77F421C
冷雨夜,Beyond,Beyond 25Th Anniversary,3,2008,Chinese Pop,FC69BA8E381F4D718587015E97F875FA
喜欢你,Beyond,Beyond 25Th Anniversary,1,2008,Chinese Pop,FF1F31FCD4E641CABF03F95122B57989
大地,Beyond,Beyond 25Th Anniversary,1,2008,Chinese Pop,6F77397C76564852B5091E1B5A283E7F
海阔天空,Beyond,BEYOND：华纳我爱经典系列,4/15,1998,Chinese Pop,9EC98F4C6EAC42B0AB596D49E5D1BF06
灰色轨迹,Beyond,《天若有情》电影原声大碟,1,1990,Chinese Pop,64F0A5105DB0476D87A99878DEBCCD85
真的爱你,Beyond,Beyond IV,1,1989,Chinese Pop,319A7916AA264C428E4B1B3628312228
遥望,Beyond,海阔天空,2,1993,Chinese Pop,1E2730E40D0C42ADBB94441823841C0B
Fly Away,F.I.R.,F.I.R.,2/13,2004,Chinese Pop,49FFDD682CDC43E2BFFE699FFB7E8C92
Lydia,F.I.R.,F.I.R.,3/13,2004,Chinese Pop,1B1E59D777054BAE899FE5102DD40B2B
你的微笑,F.I.R.,F.I.R.,8/13,2004,Chinese Pop,E5B3BAA0A27D45708080715BC7B6BF82
我们的爱,F.I.R.,F.I.R.,5/13,2004,Chinese Pop,DB2E9DB1F70242E7A7281F7D6A1D0B7C
让我们一起微笑吧,F.I.R.,让我们一起微笑吧,1,2009,Chinese Pop,C7823B7A2D074592946C51E438E2B8C1
Ring Ring Ring,S.H.E,2006移动城堡演唱会,1,2006,Chinese Pop,99D9125374124248A41FAEA7B309D794
SUPER STAR,S.H.E,2006移动城堡演唱会,2,2006,Chinese Pop,306F431B171C4DBC849CB8DAB8770A3C
一眼万年,S.H.E,S.H.E Forever 永远 新歌+精选,1,2006,Chinese Pop,5EC7EE5C70924D5CB7DDB1AF15F85025
不想长大,S.H.E,2006移动城堡演唱会,5,2006,Chinese Pop,57E7CF8FFCA348969C081EBB5AF062CD
候鸟,S.H.E,2006移动城堡演唱会,3,2006,Chinese Pop,491F85DC3943433DAADD12495B7FECD0
十面埋伏,S.H.E,2006移动城堡演唱会,6,2006,Chinese Pop,D3A0A256549B4643AC5F79901A2D458D
月光手札,S.H.E,我的电台 FM S.H.E (未来电台版),1,2008,Chinese Pop,CF69FF0C921C4BA494D5BE4B18D28346
波斯猫,S.H.E,2006移动城堡演唱会,4,2006,Chinese Pop,734638FC66484F339DF7A47E3F883D32
痛快,S.H.E,2006移动城堡演唱会,7,2006,Chinese Pop,ADAEE1914B2A493FBBADC4BA42085301
紫藤花,S.H.E,S.H.E Forever 永远 新歌+精选,2,2006,Chinese Pop,1DECBA449B64464F9EEC634F029A5B9B
美丽新世界,S.H.E,2006移动城堡演唱会,1,2006,Chinese Pop,A7592A5B4960466BB0F552CCB8BBE556
DNA,五月天,单曲,32/99,2006,Audio Book,5DF5B9FE493849008E87D7032694433D
为爱而生,五月天,为爱而生,1,2006,Chinese Pop,CD1644965F0841DFAF8707D9BD18025E
乱世浮生,五月天,知足,1,2006,Chinese Pop,52E13DDB827B493ABF444CE7569BB9C2
人生海海,五月天,知足,2,2006,Chinese Pop,FF28B853983E4A20A94B5C60354FCBAD
你不是真正的快乐,五月天,后。青春期的诗,1,2008,Chinese Pop,392464F55BEF4C8580B54966D141E0C3
倔强,五月天,知足,3,2006,Chinese Pop,1011C0591E2A45A6AE460B822942AD0B
出头天,五月天,后。青春期的诗,2,2008,Chinese Pop,F6A51A44D9EC49BB85CCFBF73D972028
后青春期的诗,五月天,后。青春期的诗,3,2008,Chinese Pop,1E368D793B3345AFA79335C2FE8D9C8B
回来吧,五月天,神的孩子都在跳舞,1,2004,Chinese Pop,72E107EA5C354E79BBC391447C345835
天使,五月天,为爱而生,2,2006,Chinese Pop,3AB316AA13EA4A75A5143EE95702E18C
如烟,五月天,后。青春期的诗,4,2008,Chinese Pop,7EE49866B6034C999804F915DA996747
孙悟空,五月天,知足,1,2006,Chinese Pop,1B0F962BA5F84C5BB1F5D4A86A965C37
彩虹,五月天,人生海海,1,2001,Chinese Pop,8677CE33624B4710A1D3E3179371C9C4
志明与春娇,五月天,滚石30青春音乐记事簿,10/15,2010,Chinese Pop,7C5F1258713A4685B83567AD9619038C
忘词,五月天,为爱而生,2,2006,Chinese Pop,01DCEC4C8897483A8BB22BE59955EF57
恋爱ing,五月天,知足,4,2006,Chinese Pop,8093416F7619490CACC9ECA64B5E45E4
憨人,五月天,知足,6,2006,Chinese Pop,84816FB0E9CB44E8BBB4AD4AA90CE716
我心中尚未崩坏的地方,五月天,后。青春期的诗,8,2008,Chinese Pop,626F5C43A66F441A9BCA29D56D313E66
放肆,五月天,放肆,1,2009,Chinese Pop,5A110C1C07C34791B7C2888FDFC83198
时光机,五月天,时光机,1,2003,Chinese Pop,F37323FFD13B4982B590519B8240A76E
星空,五月天,第二人生 末日版,1,2011,Chinese Pop,8C5C8F5361BB40CABF89F330A12930EC
春天的呐喊,五月天,后。青春期的诗,5,2008,Chinese Pop,2689ECE55CC145DD96840AAFF304373C
最重要的小事,五月天,为爱而生,3,2006,Chinese Pop,72260C947C5B4305BD6161A5D6C4E1EA
武装,五月天,时光机,1,2003,Chinese Pop,DBB7691EA78F41509D4F1DD6C84136DE
温柔(还你自由版),五月天,知足,1,2006,Chinese Pop,C2EB482F70C6438099C500553CDE7EBB
知足,五月天,知足,5,2006,Chinese Pop,E8BDE8B18D764C549FBF9D67D564F545
神的孩子都在跳舞,五月天,神的孩子都在跳舞,4,2004,Chinese Pop,080496E989514439B87F682AF32F2FF1
离开地球表面,五月天,离开地球表面Jump!,1,2007,Chinese Pop,D33CF3886A0F41FBA622160D9E86F9A1
突然好想你,五月天,后。青春期的诗,7,2008,Mainstream Rock,0C8A0476BFEB4AE7B1212C1CDC398AD9
笑忘歌,五月天,后。青春期的诗,6,2008,Chinese Pop,331E6D02650C41FD9235EB613F09BEED
米老鼠,五月天,为爱而生,1,2006,Chinese Pop,DFD4EC3F5C0A429DBD39694FBE935951
让我照顾你,五月天,神的孩子都在跳舞,5,2004,Chinese Pop,798C926D2A5D4A3A94F1AEA786D4167F
赌神,五月天,时光机,2,2003,Chinese Pop,839B2E067530472CBB79748E222C38EA
超人,五月天,神的孩子都在跳舞,3,2004,Chinese Pop,0DA7E135EE354C4999701EBF2B65F0D0
错错错,五月天,神的孩子都在跳舞,2,2004,Chinese Pop,CB1E6E9735864DFB990775B231C8B2A8
任逍遥,任贤齐,爱像太平洋,1,1998,Chinese Pop,D1FEDE381DAE4F2BAC5378661C20F2B8
伤心太平洋,任贤齐,爱像太平洋,3,1998,Chinese Pop,2315290535674736BAE39022187AACF6
依靠,任贤齐,依靠,1,1996,Chinese Pop,D98E4807B05C42C1BEC681A16D96A783
天涯,任贤齐,为爱走天涯,1,2000,Chinese Pop,6EC303D4C83840669E3A6B2F5CA37D8B
对面的女孩看过来,任贤齐,爱像太平洋,4,1998,Chinese Pop,37C5527427CE4929A1CD679B61135661
很受伤,任贤齐,爱像太平洋,2,1998,Chinese Pop,8F84B991FBE14A648A8D07E4D949C297
心太软,任贤齐,心太软,1/10,1996,Chinese Pop,D9CDE68F4216485F81F07AD10F272602
我是一只鱼,任贤齐,爱像太平洋,5,1998,Chinese Pop,A8821DD371F8421086B9BCB5099730CA
春天花会开,任贤齐,为爱走天涯,3,2000,Chinese Pop,5FD3B8B355504EA38B756495B397315C
橘子香水,任贤齐,为爱走天涯,4,2000,Chinese Pop,863A3448205D4BBB821F5867EA95FE61
死不了,任贤齐,情义新歌+精选光耀全记录(义),9/12,2004,Chinese Pop,F9773406EF214E0FBC60B796FE77E79C
沧海一声笑,任贤齐,为爱走天涯,2,2000,Chinese Pop,6190E12DE6104BD6BD3F023143468ADD
流着泪的你的脸,任贤齐,为爱走天涯,5,2000,Chinese Pop,2BA92A76A3104332A91347B1FE95B0DA
浪花一朵朵,任贤齐,流浪汉,1/17,2002,Chinese Pop,603347A5BF5C442FBF9C8C186EBAA3B2
花太香,任贤齐,飞鸟,5/12,2001,Chinese Pop,1A56F8B3C6C74B7D93A3B16C5624BC3A
世界第一等,伍佰,电影歌曲典藏1992-2000,13/16,2000,Chinese Pop,01C72ECF2D994E5C9A473E13AA723707
挪威的森林,伍佰,爱情的尽头,1,1996,Chinese Pop,A1B4E649D60743F99234162F987565A8
浪人情歌,伍佰,伍佰 滚石24K 24Bit珍藏版金碟,2/15,2008,Chinese Pop,18F47F008DBB49E49112219A4BA26ACA
牵挂,伍佰,浪人情歌,1,1994,Chinese Pop,8E6381D1ACF643A0B649B0A183128DBA
痛哭的人,伍佰,伍佰 滚石24K 24Bit珍藏版金碟,6/15,2008,Chinese Pop,1A687474822040888564A910C60B270A
全是爱,凤凰传奇,最炫民族风,2/11,2009,Chinese Pop,113D0A25130648BAB5D906D9C9523E73
吉祥如意,凤凰传奇,爱琴海,1,2008,Chinese Pop,9977029AA6084E13AB55EB8FE1259931
天蓝蓝(1),凤凰传奇,最炫民族风,5/11,2009,Chinese Pop,9956DFC6403346178E7F92AC03EE729C
天蓝蓝,凤凰传奇,最炫民族风,5/11,2009,Chinese Pop,CC4D1A6D9E0C42CFB28EC6B1E9B97453
我从草原来,凤凰传奇,我从草原来 新歌+精选,1/12,2010,Chinese Pop,2149BF6C5E0E4A4C88A22096DB8137A2
最炫民族风,凤凰传奇,最炫民族风,1/11,2009,Chinese Pop,595F5258632C41A68C9C515617DC9261
月亮之上,凤凰传奇,月亮之上,2/13,2005,Chinese Pop,48FB26BEB81048179C973D3583E877A4
溜溜的情歌,凤凰传奇,最炫民族风,8/11,2009,Chinese Pop,D63C7020FC704D71A44019522F866219
等爱的玫瑰,凤凰传奇,凤凰传奇(DVD),5/16,,Chinese Pop,AE2DB168E69C490CA735220DD5D5EBB4
自由飞翔,凤凰传奇,吉祥如意,2/11,2007,Chinese Pop,75DD9B0FCACA48C1AC107082DAFFBC16
荷塘月色,凤凰传奇,我从草原来 新歌+精选,2/12,2010,Chinese Pop,4DD3CCE47C2C4DE7B8062415C27A9B91
郎的诱惑,凤凰传奇,最炫民族风,4/11,2009,Chinese Pop,9CEE534B04604B2A923511F7014B0B14
2002年的第一场雪,刀郎,2002年的第一场雪,1,2003,Chinese Pop,4FB402B011744B808424EEB6585C595C
关于二道桥,刀郎,喀什噶尔胡杨,1,2004,Chinese Pop,F00EB62C07134B269146803A15FBC9C1
冲动的惩罚,刀郎,2002年的第一场雪,1,2003,Chinese Pop,C9BBA2C66ADC4A2EA3EC5AEE25FC3BB6
喀什噶尔胡杨,刀郎,喀什噶尔胡杨,1,2004,Chinese Pop,7CE2C18E25934C868CF7B14F1223D14C
情人,刀郎,2002年的第一场雪,1,2003,Chinese Pop,A8AF46B472C64E95A9B04E85BC1D28EC
新阿瓦尔古丽,刀郎,2002年的第一场雪,1,2003,Chinese Pop,78065DD75B6742F6A004819D61E2CBF8
草原之夜,刀郎,2002年的第一场雪,1,2003,华语歌坛偶像,AC41EAD90B7445E6AD3C4862BDF8B71C
